car_park_no,address,x_coord,y_coord,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement,lat,lon
TP27,BLK 125/126/131 LORONG 2 TOA PAYOH,29329.7942,35524.3536,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.337544127996719,103.84526755743323
TP3,BLK 66/70/73 LORONG 4 TOA PAYOH,30028.99,35280.77,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.3353412055758218,103.85155022411544
TP3A,BLK 3A LORONG 7 TOA PAYOH,30325.2783,35742.6437,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,2,2.0,N,1.3395182059074204,103.85421258052415
TP30,BLK 116/122 LORONG 1 TOA PAYOH,29448.3398,35862.8984,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.5,N,1.3406058015196685,103.84633277507528
TP31,BLK 109/111 TO 115 LORONG 1 TOA PAYOH,29396.9527,35917.6634,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.3411010791515974,103.84587103389035
TP32,BLK 107/108/110-112 LORONG 1 TOA PAYOH,29572.6442,35915.372,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0.0,N,1.341080347894242,103.84744972687204
TP33,BLK 205 TO 207 TOA PAYOH NORTH,29531.7522,36074.2751,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.3425174131789643,103.84708229584699
TP34,BLK 49 TO 52 LORONG 5 TOA PAYOH,30127.27,35573.46,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,3.8,N,1.3379881832413945,103.85243334700462
TP36,BLK 43 TO 48 LORONG 5/6 TOA PAYOH,30278.0957,35382.7109,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.5,N,1.3362631051523606,103.85378859000137
TP39,BLK 28 TO 33 TOA PAYOH EAST,30329.012,35012.6167,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.3329161007510244,103.85424607419385
TP4A,BLK 4A LORONG 7 TOA PAYOH,30471.7791,35715.3312,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,2,2.15,N,1.339271189725481,103.85552897461884
TP40,BLK 241-259/25-27 KIM KEAT LINK/AVE,30603.6943,34876.733,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.3316871944820907,103.85671423890007
TP41,BLK 253/254/256 KIM KEAT AVENUE,30773.92,34907.95,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.3319694948660095,103.85824381543759
TP43,BLK 19 TO 23 LORONG 7 TOA PAYOH,30662.6827,35225.0847,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.3348375584101948,103.85724431326393
TP48,BLK 8 LORONG 7 TOA PAYOH,30599.96,35527.39,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0.0,N,1.3375715055634856,103.85668073960271
TP49,BLK 4/5 LORONG 7 TOA PAYOH,30495.5625,35670.9258,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.3388696011180483,103.855742678862
TP50,BLK 1 TO 3 LORONG 7 TOA PAYOH,30349.5891,35671.9011,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.338878433095769,103.85443102196797
TP52,BLK 210 TO 215 LORONG 8 TOA PAYOH,30361.63,35951.68,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.341408653059209,103.85453923830802
TP53,BLK 216 TO 221 LORONG 8 TOA PAYOH,30474.3865,36065.9505,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.3424420657666276,103.85555243223668
TP54,BLK 222 TO 224 LORONG 8 TOA PAYOH,30574.9288,35955.0251,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.3414388874849328,103.85645585589977
TP56,BLK 1 TO 21 LOR 8 INDUSTRIAL PARK,31018.2569,35434.7302,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.3367334844118592,103.860439372341
TP57,BLK 1002 TO 1004 LORONG 8 TOA PAYOH,31025.8295,35236.265,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.3349386349621681,103.86050739683267
TP59,BLK 1003/1004 TOA PAYOH INDUSTRIAL PK.,31047.58,35155.12,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.334204786250388,103.86070282945403
TP60,BLK 236 TO 240 TOA PAYOH LORONG 1,30107.83,35814.16,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.5,N,1.3401649898779346,103.85225868390991
TP61,BLK 190 TOA PAYOH CENTRAL MSCP,29669.5764,35018.5085,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,4,1.9,N,1.3329694275615065,103.84832067140539
TP62,BLK 199 TO 201 TOA PAYOH NORTH,29907.7722,35952.8982,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.3414197021702756,103.85046105448892
TP63,BLK 202 TO 204 TOA PAYOH NORTH,29748.8203,35990.7969,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.3417624541860294,103.84903277871621
TP64,BLK 199 & 203 TOA PAYOH NORTH,29813.3984,36054.5,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.3423385585651588,103.84961305548723
TP65,BLK 62B LORONG 4 TOA PAYOH,29973.9188,35315.1935,SURFACE CAR PARK,COUPON PARKING,NO,NO,NO,0,4.5,N,1.3356525231297394,103.85105537987445
TP66,BLK 19 LOR 6 TOA PAYOH,30567.354,35273.679,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0.0,N,1.3352770362267163,103.85638773425214
TP67,BLK 25-27/257-259 KIM KEAT AVE,30647.8392,34994.1728,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.3327492745119403,103.85711091585088
TP68,BLK 196 KIM KEAT AVE,30890.764,34815.7549,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,0.0,N,1.331135704225246,103.85929371591416
TP7,BLK 100/103-106 LORONG 1 TOA PAYOH,29719.04,35774.23,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.339803901797761,103.8487651725943
TP8,BLK 91-96/98/100 LORONG 3 TOA PAYOH,29684.0801,35728.6552,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.339391741464608,103.8484510346467
TP8A,BLK 91-92 LOR 3/4 TOA PAYOH LOR 3 TOA PAYOH,29791.3108,35569.197,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.3379496519642329,103.84941455648203
TRM,BLK 14A KAMPONG ARANG ROAD,33602.3061,31409.6032,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,5,2.15,N,1.3003313037311017,103.88365782138321
TRS,BLK 14 KAMPONG ARANG ROAD,33581.4137,31444.7784,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.3006494194943532,103.88347010009004
TR1,BLK 102/107 TOWNER ROAD,31092.8691,33554.6172,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.5,N,1.3197304025188685,103.86110961644923
TWM1,BLK 154A JALAN TECK WHYE,19566.0155,40125.5448,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.0,N,1.379154476578848,103.75753302194056
TWM2,BLK 158A JALAN TECK WHYE,19459.5932,40178.8656,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.37963665953809,103.7565767243863
TWM3,BLK 160A JALAN TECK WHYE,19541.9487,40262.0437,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.3803889157456677,103.7573167249766
TWM4,BLK 165 TECK WHYE CRESCENT,19166.6753,40542.0167,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N,1.3829207779958563,103.75394453367993
TWM5,BLK 153 JALAN TECK WHYE,19687.1465,40113.8175,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,1,2.15,N,1.3790484537958991,103.75862147579004
TW1,BLK 25/26 TECK WHYE LANE,19301.8301,39963.4141,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0.0,N,1.3776881486417725,103.7551591710005
TW2,BLK 15-20 TECK WHYE LANE,19225.6875,40080.8281,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.3787499751507206,103.75447493964887
TW3,BLK 8/11 TECK WHYE LANE,19229.041,40255.5469,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.3803300689506601,103.75450502128675
TW4,BLK 1/7 TECK WHYE AVENUE,19072.5156,40448.2227,SURFACE CAR PARK,ELECTRONIC PARKING,NO,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.3820725108563812,103.75309846721046
TY1,BLK 1A TOH YI DRIVE,21441.5507,35689.479,MULTI-STOREY CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,8,1.9,N,1.3390367795721159,103.7743870516496
TY2,BLK 1-19 TOH YI DRIVE,21359.8594,35627.5039,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,NO,NO,0,4.5,N,1.338476281190356,103.77365302105258
TY3T,BLK 17/18 TOH YI DRIVE,21219.4283,35808.8247,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,NO,YES,0,0.0,N,1.3401160500047622,103.7723911252215
TY4,BLK 21 TOH YI DRIVE,21172.689,35626.0278,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,NO,NO,0,2.5,N,1.3384628901081825,103.77197118619773
T1,BLK 101/108 TAMPINES ST 11,40645.1002,36633.3607,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.3475709576217336,103.94694258680562
T11,BLK 149/151 TAMPINES STREET 12,40241.5939,36993.2916,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,0,0.0,N,1.3508262061118292,103.943316985097
T12,BLK 156/160 TAMPINES STREET 12,40513.9859,37022.0319,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,0,0.0,N,1.3510860099421336,103.94576460703563
T13,BLK 161/166 TAMPINES STREET 12,40511.1172,36794.0234,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.3490239873523107,103.94573873529593
T15,BLK 201A/201C TAMPINES STREET 21,41292.6602,37256.6602,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,0.0,N,1.3532075642039398,103.95276157879327
T16,BLK 202/205 TAMPINES STREET 21,41242.6367,37183.9531,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,0.0,N,1.3525500507189214,103.95231205447519
T17,BLK 201D/209/208A TAMPINES STREET 21,41349.1055,37121.3281,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.5,N,1.3519836463649708,103.95326871485538
T18,BLK 201E TAMPINES STREET 21,41423.7376,37254.2715,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,0.0,N,1.3531859030595232,103.9539393897261
T19,BLK 210/230 TAMPINES STREET 23,41357.6797,37403.3437,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.354534085624122,103.95334588469463
T20,BLK 231/238 TAMPINES STREET 21,40691.5398,37589.1246,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,0.0,N,1.3562145094408478,103.94736027787852
T24,BLK 239/244 TAMPINES STREET 21,40682.5014,37392.3908,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,0.0,N,1.3544353263886053,103.94727897895869
T25,BLK 245/248 TAMPINES STREET 21,40663.4797,37197.2727,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,0,0.0,N,1.3526707593180278,103.94710797478479
T26,BLK 249/266 TAMPINES STREET 21,40884.9727,37147.543,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.3522209278111585,103.94909820583909
T27,BLK 251/253 TAMPINES STREET 21,40784.043,37234.2773,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.3530053637215969,103.9481913267748
T28,BLK 257/260 TAMPINES STREET 21,40918.3711,37369.6133,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.3542292340060496,103.94939840662884
T29,BLK 255/264 TAMPINES STREET 21,41092.9461,37347.4683,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.3540288868380228,103.95096706281284
T3,BLK 109/114 TAMPINES ST 11,40700.7059,36530.5002,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.3466407021741527,103.94744219430474
T30,BLK 267/271 TAMPINES STREET 21,40920.2995,37019.6152,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.3510639814359515,103.9494155841016
T31,BLK 268-270 TAMPINES STREET 21,40760.3906,37026.1929,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.3511235363506373,103.94797870694194
T32,BLK 272-275 TAMPINES STREET 22,41035.0411,36785.1588,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.3489435958045177,103.95044650654405
T33,BLK 276/282 TAMPINES STREET 22,41243.9538,36627.3316,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.347516174173893,103.95232364470998
T34,BLK 283/286 TAMPINES STREET 22,41284.2492,36781.636,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0.0,N,1.3489116274391828,103.95268579107773
T35,BLK 287/298/299A/299B TAMPINES STREET 22,41456.957,36778.5156,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0.0,N,1.3488833306241517,103.95423767400027
T37,"BLK 801, 820, 897/898 TAMPINES AVE 4/STREET 81",39523.5039,36609.7734,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.3473580948340884,103.93686435633278
T38,"BLK 902-916, 942-946 TAMPINES STREET 91",39932.1232,36937.4179,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.3503210301813995,103.94053617774952
T39,BLK 921-941 TAMPINES STREET 91,39926.9824,36424.8207,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.5,N,1.345685293537858,103.94048978184576
T4,BLK 124/127 TAMPINES STREET 11,40964.6909,36395.5354,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.3454200181193652,103.94981419991524
T41,BLK 821/829 TAMPINES STREET 81,39350.702,36706.421,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.3482322058800835,103.93531166289081
T42,BLK 824/827 TAMPINES STREET 81,39062.7271,36823.2135,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.5,N,1.349288541806568,103.9327240756472
T43,BLK 831/841 TAMPINES STREET 83,39241.8985,37029.2046,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,0.0,N,1.3511513824159747,103.93433411754485
T44,BLK 830/840 TAMPINES STREET 82,39357.5533,36980.6496,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.5,N,1.3507122252686103,103.93537332934677
T45,BLK 843/855 TAMPINES STREET 83,39338.9023,37240.9629,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.3530664094691605,103.93520583669454
T46,BLK 842/856 TAMPINES STREET 82,39486.3058,37178.0754,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.5,N,1.352497621893965,103.93653032554684
T47,BLK 857/864 TAMPINES STREET 83/AVE 5,39527.3164,37445.0986,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.3549124649106408,103.93689893386828
T47A,BLK 864B TAMPINES STREET 83,39328.7136,37444.6416,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,5,1.9,N,1.3549084080766358,103.93511436165673
T48,BLK 865/874A TAMPINES ST 83/84,39076.7194,37331.671,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.5,N,1.3538868383953702,103.93284999223378
T49,BLK 875/886A TAMPINES STREET 84 /AVE 8,38918.6987,37122.0189,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.5,N,1.3519908804356804,103.93143000035839
T49A,BLK 882A TAMPINES STREET 83,39139.9893,37058.3736,MULTI-STOREY CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,5,1.8,N,1.3514152142057048,103.9334184109358
T50,BLK 887-889 TAMPINES ST 81/AVENUE 3,38870.9497,36981.7596,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.5,N,1.3507224444833017,103.93100089511287
T51,BLK 894-896 TAMPINES STREET 81,38948.9356,36763.5017,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0.0,N,1.3487485721393917,103.93170156744117
T54,BLK 513 TAMPINES CENTRAL 1,40286.9005,37300.6184,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,NO,YES,0,4.5,N,1.3536055365743191,103.94372421839135
T55,BLK 501/508 TAMPINES CENTRAL 1,40456.9061,37597.9862,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,0.0,N,1.3562947494678363,103.94525194863868
